"p","U:0","U:1","U:2","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.526353121,-0.0222992599,3.192116499,-3.587454529e-20,4354,1,4.136856556,22.95000076,-32.42619324,0
1.515128255,-0.02252321318,3.195776939,-2.63893686e-20,4354,1,4.205804348,22.95750046,-32.35765457,0
1.503899217,-0.02274336852,3.199444294,-1.615026202e-20,6553,1,4.27475214,22.96500015,-32.28911591,0
1.492646098,-0.02295634709,3.203191519,-4.50689801e-21,6553,1,4.343699932,22.97249985,-32.22057724,0
1.481387615,-0.02316482924,3.206941366,6.398756603e-21,6553,1,4.412647724,22.97999954,-32.15203857,0
1.470123649,-0.02336882241,3.210693836,1.656761826e-20,6553,1,4.481595516,22.98749924,-32.08349991,0
1.459055185,-0.02351596393,3.214373827,1.802201665e-20,2143,1,4.550543308,22.99500084,-32.01496124,0
1.448108673,-0.02362407371,3.218008518,1.452486989e-20,2143,1,4.6194911,23.00250053,-31.94642258,0
1.437159061,-0.02372562513,3.221644878,1.124277555e-20,2143,1,4.688438892,23.01000023,-31.87788391,0
1.426206231,-0.02382062376,3.225282907,8.175511478e-21,2143,1,4.757386684,23.01749992,-31.80934525,0
1.415250182,-0.02390907891,3.228922606,5.322859986e-21,2143,1,4.826334476,23.02499962,-31.74080658,0
1.404291153,-0.02399099432,3.232564211,2.684601955e-21,2143,1,4.895282269,23.03249931,-31.67226791,0
1.393328786,-0.02406647056,3.236207247,2.605425564e-22,2143,1,4.964230061,23.04000092,-31.60372925,0
1.382727265,-0.0240945071,3.239719629,3.205925872e-21,6543,1,5.033177853,23.04750061,-31.53519058,0
1.372203708,-0.02410677448,3.243204594,7.425786151e-21,6543,1,5.102125645,23.05500031,-31.46665192,0
1.361681342,-0.02411185391,3.246690273,1.182680868e-20,6543,1,5.171073437,23.0625,-31.39811325,0
1.351160526,-0.02410976589,3.250176191,1.640864126e-20,6543,1,5.240019321,23.06999969,-31.32957649,0
1.340640783,-0.02410049736,3.253662825,2.117130004e-20,6543,1,5.308967113,23.07749939,-31.26103783,0
1.330122232,-0.02408406883,3.257149935,2.611443444e-20,6543,1,5.377914906,23.08499908,-31.19249916,0
1.319605112,-0.02406057529,3.260637522,3.123793946e-20,6543,1,5.446862698,23.09250069,-31.12396049,0
1.309660435,-0.02398140542,3.263932943,2.689774863e-20,2133,1,5.51581049,23.10000038,-31.05542183,0
1.299728155,-0.02389407903,3.267225027,2.155622821e-20,2133,1,5.584758282,23.10750008,-30.98688316,0
1.289801002,-0.02379920334,3.270516396,1.532805742e-20,2133,1,5.653706074,23.11499977,-30.9183445,0
1.279879093,-0.02369678766,3.27380681,8.214125626e-21,2133,1,5.722653866,23.12249947,-30.84980583,0
1.26996243,-0.02358683944,3.277096272,2.153206317e-22,2133,1,5.791601658,23.12999916,-30.78126717,0
1.260050893,-0.02346944623,3.280385017,-8.667920626e-21,2133,1,5.86054945,23.13750076,-30.7127285,0
1.250212908,-0.02334470116,3.283649921,-1.801096442e-20,6533,1,5.929497242,23.14500046,-30.64418983,0
1.240983963,-0.02321508713,3.286711216,-2.362606675e-20,6533,1,5.998445034,23.15250015,-30.57565117,0
1.231763721,-0.02307883091,3.289770603,-2.852143955e-20,6533,1,6.067390919,23.15999985,-30.50711441,0
